Sentence,Entity,Label
"Berkshire Hathaway is headquartered in Omaha, Nebraska.",Omaha,GPE
"Berkshire Hathaway is headquartered in Omaha, Nebraska.",Nebraska,GPE
Larry Ellison is the founder of Oracle Corporation.,Larry Ellison,PERSON
Larry Ellison is the founder of Oracle Corporation.,Oracle Corporation,ORG
"Oracle Corporation is headquartered in Redwood City, California.",Oracle Corporation,ORG
"Oracle Corporation is headquartered in Redwood City, California.",Redwood City,GPE
"Oracle Corporation is headquartered in Redwood City, California.",California,GPE
Jack Dorsey is the CEO of Twitter.,Jack Dorsey,PERSON
Jack Dorsey is the CEO of Twitter.,Twitter,PRODUCT
"Twitter is headquartered in San Francisco, California.",Twitter,PERSON
"Twitter is headquartered in San Francisco, California.",San Francisco,GPE
"Twitter is headquartered in San Francisco, California.",California,GPE
Sundar Pichai is the CEO of Alphabet Inc.,Sundar Pichai,PERSON
Sundar Pichai is the CEO of Alphabet Inc.,Alphabet Inc.,ORG
Alphabet Inc. is the parent company of Google.,Alphabet Inc.,ORG
Alphabet Inc. is the parent company of Google.,Google,ORG
Brian Chesky is the CEO of Airbnb.,Brian Chesky,PERSON
Brian Chesky is the CEO of Airbnb.,Airbnb,ORG
"Airbnb is headquartered in San Francisco, California.",San Francisco,GPE
"Airbnb is headquartered in San Francisco, California.",California,GPE
Reed Hastings is the CEO of Netflix.,Reed Hastings,PERSON
Reed Hastings is the CEO of Netflix.,Netflix,GPE
"Netflix is headquartered in Los Gatos, California.",Netflix,ORG
"Netflix is headquartered in Los Gatos, California.",Los Gatos,GPE
"Netflix is headquartered in Los Gatos, California.",California,GPE
Evan Spiegel is the CEO of Snap Inc.,Evan Spiegel,PERSON
Evan Spiegel is the CEO of Snap Inc.,Snap Inc.,ORG
"Snap Inc. is headquartered in Santa Monica, California.",Snap Inc.,ORG
"Snap Inc. is headquartered in Santa Monica, California.",Santa Monica,GPE
"Snap Inc. is headquartered in Santa Monica, California.",California,GPE
Larry Page is one of the co-founders of Google.,Larry Page,PERSON
Larry Page is one of the co-founders of Google.,one,CARDINAL
Larry Page is one of the co-founders of Google.,Google,ORG
Sergey Brin is one of the co-founders of Google.,Sergey Brin,PERSON
Sergey Brin is one of the co-founders of Google.,one,CARDINAL
Sergey Brin is one of the co-founders of Google.,Google,ORG
Mark Zuckerberg co-founded Facebook with his college roommates.,Mark Zuckerberg,PERSON
Steve Jobs co-founded Apple in his parents' garage.,Steve Jobs,PERSON
Steve Jobs co-founded Apple in his parents' garage.,Apple,ORG
Elon Musk co-founded PayPal before starting Tesla and SpaceX.,Elon Musk,PERSON
Elon Musk co-founded PayPal before starting Tesla and SpaceX.,PayPal,ORG
Elon Musk co-founded PayPal before starting Tesla and SpaceX.,Tesla,PERSON
Amazon started as an online bookstore.,Amazon,ORG
Jeff Bezos founded Amazon in 1994.,Jeff Bezos,PERSON
Jeff Bezos founded Amazon in 1994.,Amazon,ORG
Jeff Bezos founded Amazon in 1994.,1994,DATE
Tim Cook succeeded Steve Jobs as the CEO of Apple.,Tim Cook,PERSON
Tim Cook succeeded Steve Jobs as the CEO of Apple.,Steve Jobs,PERSON
Tim Cook succeeded Steve Jobs as the CEO of Apple.,Apple,ORG
Satya Nadella became the CEO of Microsoft in 2014.,Satya Nadella,PERSON
Satya Nadella became the CEO of Microsoft in 2014.,Microsoft,ORG
Satya Nadella became the CEO of Microsoft in 2014.,2014,DATE
Alphabet Inc. was established as Google's parent company in 2015.,Alphabet Inc.,ORG
Alphabet Inc. was established as Google's parent company in 2015.,Google,ORG
Alphabet Inc. was established as Google's parent company in 2015.,2015,DATE
Larry Page and Sergey Brin met at Stanford University before founding Google.,Larry Page,PERSON
Larry Page and Sergey Brin met at Stanford University before founding Google.,Sergey Brin,PERSON
Larry Page and Sergey Brin met at Stanford University before founding Google.,Stanford University,ORG
Larry Page and Sergey Brin met at Stanford University before founding Google.,Google,ORG
Bill Gates dropped out of Harvard University to start Microsoft.,Bill Gates,PERSON
Bill Gates dropped out of Harvard University to start Microsoft.,Harvard University,ORG
Bill Gates dropped out of Harvard University to start Microsoft.,Microsoft,ORG
Steve Jobs was known for his vision and attention to design detail.,Steve Jobs,PERSON
Mark Zuckerberg launched Facebook from his dorm room at Harvard.,Mark Zuckerberg,PERSON
Mark Zuckerberg launched Facebook from his dorm room at Harvard.,Harvard,ORG
Jeff Bezos left his job on Wall Street to start Amazon.,Jeff Bezos,PERSON
Jeff Bezos left his job on Wall Street to start Amazon.,Amazon,ORG
Elon Musk is known for his ambitious projects in space exploration.,Elon Musk,PERSON
Warren Buffett is one of the most successful investors in history.,Warren Buffett,PERSON
Warren Buffett is one of the most successful investors in history.,one,CARDINAL
Larry Ellison started Oracle Corporation in 1977.,Larry Ellison,PERSON
Larry Ellison started Oracle Corporation in 1977.,Oracle Corporation,ORG
Larry Ellison started Oracle Corporation in 1977.,1977,DATE
Jack Dorsey co-founded Twitter along with Biz Stone and Noah Glass.,Jack Dorsey,PERSON
Jack Dorsey co-founded Twitter along with Biz Stone and Noah Glass.,Twitter,PERSON
Jack Dorsey co-founded Twitter along with Biz Stone and Noah Glass.,Biz Stone,PERSON
Jack Dorsey co-founded Twitter along with Biz Stone and Noah Glass.,Noah Glass,PERSON
Reed Hastings founded Netflix after incurring late fees on a movie rental.,Reed Hastings,PERSON
Reed Hastings founded Netflix after incurring late fees on a movie rental.,Netflix,ORG
Brian Chesky and Joe Gebbia started Airbnb to rent out air mattresses in their apartment.,Brian Chesky,PERSON
Brian Chesky and Joe Gebbia started Airbnb to rent out air mattresses in their apartment.,Joe Gebbia,PERSON
Evan Spiegel and Bobby Murphy founded Snap Inc. while they were students at Stanford.,Evan Spiegel,PERSON
Evan Spiegel and Bobby Murphy founded Snap Inc. while they were students at Stanford.,Bobby Murphy,PERSON
Evan Spiegel and Bobby Murphy founded Snap Inc. while they were students at Stanford.,Snap Inc.,ORG
Evan Spiegel and Bobby Murphy founded Snap Inc. while they were students at Stanford.,Stanford,ORG
Satya Nadella led Microsoft's transformation towards cloud computing.,Satya Nadella,PERSON
Satya Nadella led Microsoft's transformation towards cloud computing.,Microsoft,ORG
Sundar Pichai oversees Google's various products and services.,Sundar Pichai,PERSON
Sundar Pichai oversees Google's various products and services.,Google,ORG
Tim Cook has focused on sustainability and social responsibility at Apple.,Tim Cook,PERSON
Tim Cook has focused on sustainability and social responsibility at Apple.,Apple,ORG
"Alphabet Inc. includes companies such as Waymo, Verily, and DeepMind.",Alphabet Inc.,ORG
"Alphabet Inc. includes companies such as Waymo, Verily, and DeepMind.",Waymo,PRODUCT
"Alphabet Inc. includes companies such as Waymo, Verily, and DeepMind.",Verily,ORG
"Alphabet Inc. includes companies such as Waymo, Verily, and DeepMind.",DeepMind,PRODUCT
Jeff Bezos is also the owner of The Washington Post and Blue Origin.,Jeff Bezos,PERSON
Jeff Bezos is also the owner of The Washington Post and Blue Origin.,The Washington Post,ORG
Jeff Bezos is also the owner of The Washington Post and Blue Origin.,Blue Origin,ORG
Larry Ellison owns a majority stake in the Hawaiian island of Lanai.,Larry Ellison,PERSON
Larry Ellison owns a majority stake in the Hawaiian island of Lanai.,Hawaiian,NORP
Larry Ellison owns a majority stake in the Hawaiian island of Lanai.,Lanai,GPE
Jack Dorsey is the CEO of both Twitter and Square.,Jack Dorsey,PERSON
Jack Dorsey is the CEO of both Twitter and Square.,Twitter,PERSON
Jack Dorsey is the CEO of both Twitter and Square.,Square,GPE
Reed Hastings is a proponent of corporate culture and talent management.,Reed Hastings,PERSON
Brian Chesky emphasizes the importance of design and user experience at Airbnb.,Brian Chesky,PERSON
Brian Chesky emphasizes the importance of design and user experience at Airbnb.,Airbnb,ORG
Evan Spiegel is known for his privacy-focused approach to social media.,Evan Spiegel,PERSON
"Warren Buffett is nicknamed the ""Oracle of Omaha"" for his investment prowess.",Warren Buffett,PERSON
Mark Zuckerberg has faced criticism for Facebook's handling of user data.,Mark Zuckerberg,PERSON
Mark Zuckerberg has faced criticism for Facebook's handling of user data.,Facebook,ORG
Steve Jobs was known for his charismatic leadership style.,Steve Jobs,PERSON
Jeff Bezos is one of the richest people in the world.,Jeff Bezos,PERSON
Jeff Bezos is one of the richest people in the world.,one,CARDINAL
Larry Page and Sergey Brin are among the wealthiest tech entrepreneurs.,Larry Page,PERSON
Larry Page and Sergey Brin are among the wealthiest tech entrepreneurs.,Sergey Brin,PERSON
Elon Musk is known for his bold predictions about the future.,Elon Musk,PERSON
Satya Nadella has focused on expanding Microsoft's presence in artificial intelligence.,Satya Nadella,PERSON
Satya Nadella has focused on expanding Microsoft's presence in artificial intelligence.,Microsoft,ORG
Sundar Pichai has advocated for the responsible development of AI technology.,Sundar Pichai,PERSON
Sundar Pichai has advocated for the responsible development of AI technology.,AI,ORG
Tim Cook has spoken out on issues such as privacy and environmental sustainability.,Tim Cook,PERSON
Alphabet Inc. has invested in a wide range of moonshot projects.,Alphabet Inc.,ORG
Jeff Bezos has expressed interest in space tourism and colonization.,Jeff Bezos,PERSON
Larry Ellison is a collector of luxury real estate and yachts.,Larry Ellison,PERSON
Jack Dorsey has been involved in cryptocurrency and blockchain technology.,Jack Dorsey,PERSON
Reed Hastings has spoken about the importance of content creation and distribution.,Reed Hastings,PERSON
Brian Chesky has led Airbnb through periods of regulatory challenges.,Brian Chesky,PERSON
Evan Spiegel has faced criticism for changes to the Snapchat app design.,Evan Spiegel,PERSON
Warren Buffett is known for his value investing approach.,Warren Buffett,PERSON
Mark Zuckerberg has testified before Congress on issues related to privacy and misinformation.,Mark Zuckerberg,PERSON
Mark Zuckerberg has testified before Congress on issues related to privacy and misinformation.,Congress,ORG
Steve Jobs was posthumously awarded the Presidential Medal of Freedom.,Steve Jobs,PERSON
Steve Jobs was posthumously awarded the Presidential Medal of Freedom.,the Presidential Medal of Freedom,ORG
Jeff Bezos has made investments in industries ranging from healthcare to media.,Jeff Bezos,PERSON
Larry Page is involved in projects such as self-driving cars and renewable energy.,Larry Page,PERSON
Elon Musk has plans for a high-speed transportation system called the Hyperloop.,Elon Musk,PERSON
Elon Musk has plans for a high-speed transportation system called the Hyperloop.,Hyperloop,FAC
Satya Nadella has emphasized the importance of accessibility and inclusion in technology.,Satya Nadella,PERSON
Sundar Pichai has faced scrutiny over Google's handling of data privacy issues.,Sundar Pichai,PERSON
Sundar Pichai has faced scrutiny over Google's handling of data privacy issues.,Google,ORG
Tim Cook has advocated for diversity and LGBTQ rights.,Tim Cook,PERSON
Alphabet Inc. has been criticized for its market dominance and antitrust concerns.,Alphabet Inc.,ORG
Jeff Bezos has expressed concerns about climate change and launched initiatives to address it.,Jeff Bezos,PERSON
Larry Page and Sergey Brin stepped down from their roles at Alphabet Inc. in 2019.,Larry Page,PERSON
Larry Page and Sergey Brin stepped down from their roles at Alphabet Inc. in 2019.,Sergey Brin,PERSON
Larry Page and Sergey Brin stepped down from their roles at Alphabet Inc. in 2019.,Alphabet Inc.,ORG
Larry Page and Sergey Brin stepped down from their roles at Alphabet Inc. in 2019.,2019,DATE
Elon Musk has a vision for colonizing Mars and making humanity multi-planetary.,Elon Musk,PERSON
Elon Musk has a vision for colonizing Mars and making humanity multi-planetary.,Mars,LOC
Satya Nadella has overseen the acquisition of companies such as LinkedIn and GitHub.,Satya Nadella,PERSON
Satya Nadella has overseen the acquisition of companies such as LinkedIn and GitHub.,LinkedIn,GPE
Satya Nadella has overseen the acquisition of companies such as LinkedIn and GitHub.,GitHub,ORG
Sundar Pichai has led Google through challenges such as employee protests and government scrutiny.,Sundar Pichai,PERSON
Sundar Pichai has led Google through challenges such as employee protests and government scrutiny.,Google,ORG
Tim Cook has focused on expanding Apple's services business.,Tim Cook,PERSON
Tim Cook has focused on expanding Apple's services business.,Apple,ORG
Alphabet Inc. has invested in projects related to healthcare and life sciences.,Alphabet Inc.,ORG
Jeff Bezos has purchased The Washington Post to support quality journalism.,Jeff Bezos,PERSON
Jeff Bezos has purchased The Washington Post to support quality journalism.,The Washington Post,ORG
Larry Page is involved in efforts to combat climate change through investments in clean energy.,Larry Page,PERSON
Elon Musk's companies have disrupted industries such as automotive and aerospace.,Elon Musk's,PERSON
Satya Nadella has promoted partnerships with other tech companies and startups.,Satya Nadella,PERSON
Sundar Pichai has addressed concerns about Google's impact on society and democracy.,Sundar Pichai,PERSON
Sundar Pichai has addressed concerns about Google's impact on society and democracy.,Google,ORG
